bID,name,address,cord,numOfReview,rating,zipcode,cuisine
MdDj13LgIs0WdbIdiyqB7Q,Pinch Chinese,"177 Prince St, New York, NY 10012","40.72645, -74.0018",365,3.5,10012,chinese
bnDfFdiCcPzhuNWUJORvLQ,Noodle Village,"13 Mott St, New York, NY 10013","40.714167, -73.998803",1146,4.0,10013,chinese
Dqu-5RxNbbpBsL1Ssht9Ng,Hunan Slurp,"112 1st Ave, New York, NY 10009","40.72669, -73.98563",223,4.0,10009,chinese
BCkyeKuJl009EtwPBvVhzA,Silver Apricot,"20 Cornelia St, New York, NY 10014","40.73138, -74.00206",22,4.5,10014,chinese
B7bxdtvLYR7Nmex4AIFd4w,RedFarm,"2170 Broadway, New York, NY 10024","40.782051, -73.980415",626,3.5,10024,chinese
xtxcAUvrD4dWHJd0cwvW1A,JeJu Noodle Bar,"679 Greenwich St, New York, NY 10014","40.73304, -74.00734",612,4.5,10014,chinese
rYw5rQbWRX9buZHZbxqWdA,Congee Village,"100 Allen St, New York, NY 10002","40.7187, -73.99031",1607,3.5,10002,chinese
nzqNfNXjtB6bxp-UN7xXkA,Bao Bao Cafe,"214 W 39th Street Retail 101, New York, NY 10018","40.75432, -73.989333",3,4.5,10018,chinese
MYPes7EWP5aLiVG1Z_9eFQ,Jing Fong,"380 Amsterdam Ave, New York, NY 10024","40.7827096147799, -73.9789128775797",213,3.0,10024,chinese
FizBsTIAJwNrImIG1mPDcg,Barn Joo,"35 Union Sq W, New York, NY 10003","40.73684, -73.99069",1642,4.0,10003,chinese
7CdpBlw4NLaOLzfFL9IEUg,Uncle Boons Sister,"203 Mott St, New York, NY 10012","40.72147, -73.99565",157,3.5,10012,chinese
mDajKjZjRN4tVGEJFOgF9w,Wok 88,"1570 3rd Ave, New York, NY 10128","40.78042, -73.95322",292,3.5,10128,chinese
-2FAuHbWsc_rxuSaeYAhCw,Green Garden Village,"216 Grand St, New York, NY 10013","40.7190136, -73.9959638",60,4.5,10013,chinese
JzD9nfJWHwnG-2Wk87muHg,Qi,"698 9th Ave, New York, NY 10036","40.762, -73.98961",1224,3.5,10036,chinese
lgS9lE0Y9FhzT68zCj5QCw,Hunan Bistro,"96 3rd Ave, New York, NY 10003","40.73234, -73.9881",219,3.5,10003,chinese
VzstANC68PM1BbyOcDXEtw,Donburiya,"253 W 55th St, New York, NY 10019","40.76528, -73.98326",353,4.0,10019,chinese
4RVOnv8GsP_5J2Hk5pXyVQ,Juicy Express,"170 Main St, Ste 106, Lodi, NJ 07644","40.87886, -74.083734",4,4.5,07644,chinese
icZcEK39HXuL2q08i4EkkQ,Bessou,"5 Bleecker St, New York, NY 10012","40.725502, -73.992675",287,4.0,10012,chinese
olRNNJCJ2TJvPRmjBiOcGA,Silky Kitchen,"137 E 13th St, New York, NY 10003","40.73297, -73.98829",227,4.5,10003,chinese
SVJNB9LqI13jtVyKMZVqeg,Uncle Ted's Modern Chinese Cuisine,"163 Bleecker St, New York, NY 10012","40.72882, -73.999961",473,3.5,10012,chinese
MD-GiizNpmFbuDIdKGzXnA,Mekong,"917 Columbus Ave, New York, NY 10025","40.7984, -73.96326",60,4.0,10025,chinese
wzmeaMTm5cZ1JCjep7iQeA,ZLS BBQ,"219 E 23rd St, New York, NY 10010","40.73852, -73.98201",17,4.0,10010,chinese
mTWlEiCUEBlxBAkIikkB1A,Carmine's Italian Restaurant - Upper West Side,"2450 Broadway, New York, NY 10024","40.791077, -73.973763",1407,4.0,10024,chinese
8ig0yf0003DAp4YOGTlbVg,Spicy Village,"68 Forsyth St, Ste B, New York, NY 10002","40.71695, -73.99327",669,4.0,10002,chinese
BtVnZmPY51ZWGY63-mzJ7A,ON,"110 Madison Ave, 1FL, New York, NY 10016","40.74502, -73.98513",163,4.5,10016,chinese
PBUIaPtgnhmdHE3KHglK-g,Jean-Georges,"1 Central Park W, New York, NY 10023","40.7691122743293, -73.9814290717583",1889,4.5,10023,chinese
